Your daily social media interaction2,"Rate your programming skills (Fluency with languages: C/C++/Python/Java etc. )
(Only for CSE, IT, BCA and MCA students)",Rate your physical activity (Dedicated workout session/sports),Your class attendance,Rate your attention during lectures,"How often do you take references from Google, YouTube, library or any other platform to clear your concepts?",Your daily study duration,Study duration during end-sem exams,How often do you clear doubts/topics of your classmates during group study?,Your SGPA 1,Your SGPA 2,Your SGPA 3,Your SGPA 4
0,5,6,75% - 85%,5,5,0,1,10,6.68 ,5.84,5.67,5.18
1,6,7,85% - 95%,4,9,2,2,7,8.14 ,8.32,7.33,7.82
1,6,8,85% - 95%,7,10,3,1,5,5.62 ,6,6.17,6.45
0,9,3,85% - 95%,8,10,3,2,8,7.65 ,8.21,7.83,8.09
1,7,5,85% - 95%,8,8,3,2,8,8.57 ,8.89,8.17,8.45
0,4,8,65% - 75%,7,6,2,1,7,,,6,6.3
1,6,10,75% - 85%,8,8,2,0,8,,,5.5,6
1,7,9,85% - 95%,8,9,3,1,8,7.17 ,7.37,7.46,7.55
1,7,9,85% - 95%,9,9,1,1,9,6.20 ,7.3,7.5,7.4
2,5,3,85% - 95%,8,9,3,1,5,5.89 ,6,7,7.55
0,5,7,85% - 95%,7,9,1,2,8,,,6.5,6.8
2,9,9,85% - 95%,9,10,2,2,9,6.90 ,7.1,6.9,7.3
1,5,5,75% - 85%,7,9,1,2,5,7.81 ,9,8,8.82
1,7,4,85% - 95%,6,8,1,0,5,6.41 ,5.89,5.6,6.14
1,8,3,85% - 95%,8,5,2,1,6,,,6.5,7.18
1,8,8,75% - 85%,6,10,1,2,8,7.73 ,7.74,6.83,7.45
2,6,9,75% - 85%,7,9,2,1,6,6.35 ,6.56,6.92,7
0,7,8,85% - 95%,6,10,1,2,8,7.14 ,8.42,7.67,7.73
1,5,6,85% - 95%,7,8,1,2,9,9.11 ,9.47,9,9
0,8,8,55% - 65%,6,8,0,0,7,6.90 ,5.79,6.3,7
1,5,10,75% - 85%,7,8,1,2,7,5.84 ,2.84,6,5.73
2,9,10,75% - 85%,10,10,1,2,7,4.00 ,4,5,5
1,7,9,85% - 95%,8,7,2,1,8,8.57 ,8.42,8.17,9
1,7,7,85% - 95%,9,8,2,0,8,5.70 ,4.6,7,7.6
1,5,5,75% - 85%,7,7,1,1,6,7.81 ,8.42,8,8.09
1,9,10,75% - 85%,8,10,3,3,8,8.35 ,8.05,8.5,8.45
2,8,6,75% - 85%,7,10,2,1,8,7.00 ,6.64,5.5,6.55
2,8,10,75% - 85%,8,8,1,0,8,6.00 ,6,6,6
1,8,9,85% - 95%,7,10,1,1,6,8.68 ,8.68,8.5,8.45
2,8,4,75% - 85%,6,9,1,1,7,8.27 ,8.27,7.5,8.3
2,6,6,85% - 95%,10,7,1,1,7,8.30 ,8.89,7.5,8
1,4,5,85% - 95%,7,7,1,1,6,,,4.9,5.9
1,7,8,85% - 95%,8,8,1,0,8,7.00 ,7.1,7,7
2,8,5,85% - 95%,8,10,2,2,10,8.40 ,9,9.1,8.8
0,6,10,85% - 95%,9,6,3,1,7,9.14 ,9.42,7.5,8.64
1,4,4,65% - 75%,6,8,1,1,6,7.80 ,7.2,7.3,7
2,5,9,75% - 85%,7,10,1,3,10,7.50 ,7.2,7.5,8.2
0,8,9,85% - 95%,7,10,1,2,1,9.21 ,9.54,8.67,8.75
0,7,5,75% - 85%,6,7,2,1,5,8.00 ,7.8,7.5,8.4
1,7,10,65% - 75%,7,8,1,0,6,7.80 ,6.67,6.68,7.4
1,4,4,Below 55%,2,10,0,0,3,8.20 ,6.4,6.2,6.4
1,5,7,85% - 95%,5,7,1,3,10,8.30 ,7.9,8.16,8.31
0,8,9,85% - 95%,7,8,1,1,8,6.89 ,6.73,6.1,8.44
1,7,6,85% - 95%,9,10,1,0,7,5.84 ,6.58,7.67,7.36
0,3,7,55% - 65%,1,10,1,1,10,8.42 ,8,7.64,8.22
1,5,8,65% - 75%,7,10,2,3,7,8.09 ,8.21,7.89,7.88
1,6,4,65% - 75%,4,9,1,1,5,8.21 ,7.67,7.91,7.76
1,8,5,85% - 95%,10,10,2,0,6,7.00 ,7.3,7.6,7.4
2,6,3,65% - 75%,4,6,1,2,4,7.74 ,7.81,7,7.82
2,9,1,75% - 85%,8,8,2,2,10,8.95 ,9.57,8.95,9.02
0,7,10,85% - 95%,8,10,1,2,10,8.21 ,8.54,7.67,8.45
0,7,7,65% - 75%,5,9,0,3,7,8.68 ,7.35,7.33,8
0,6,6,65% - 75%,7,9,0,1,8,7.11 ,8.02,7.56,7.91
2,8,9,75% - 85%,1,10,0,0,1,8.26 ,7.57,7.17,7.6
2,7,7,85% - 95%,8,10,1,2,10,7.37 ,7.57,7,7.34
0,6,10,75% - 85%,8,9,1,0,8,9.58 ,9.76,9.5,9.45
1,4,6,75% - 85%,7,9,0,0,5,6.60 ,4.8,6.3,6.5
0,7,7,85% - 95%,7,9,1,3,7,7.84 ,8.54,8.17,7.91
2,8,8,65% - 75%,7,9,3,2,7,6.70 ,5.3,7,8
0,8,4,75% - 85%,6,10,1,2,7,7.50 ,7.3,6,7.45
1,8,10,65% - 75%,8,9,2,0,8,6.63 ,6.62,6.5,7.84
0,7,7,55% - 65%,5,8,0,0,4,6.63 ,7.16,6.83,6.73
1,7,8,85% - 95%,6,9,1,2,5,8.20 ,7.4,7.6,7.8
0,7,8,75% - 85%,3,10,2,0,4,8.00 ,7.43,7,7.64
0,7,1,65% - 75%,4,8,2,2,9,8.26 ,8.27,7.67,8.27
0,5,8,65% - 75%,5,5,1,0,3,8.68 ,9.32,7.83,8.48
1,8,8,65% - 75%,5,10,1,0,6,7.11 ,7.2,6.5,7.27
1,5,6,75% - 85%,6,9,1,1,6,7.20 ,7,7.1,7.3
1,8,5,75% - 85%,8,5,0,2,5,7.63 ,6.68,6.83,7
0,6,5,75% - 85%,6,9,1,1,6,7.58 ,6.49,6.83,7
1,9,9,75% - 85%,9,9,0,1,9,9.47 ,9.83,9.84,9.55
1,5,7,75% - 85%,7,8,2,2,5,6.68 ,7.24,7.33,8.36
0,6,2,75% - 85%,4,10,2,1,3,7.74 ,6.22,7.17,7.45
1,5,5,75% - 85%,7,7,0,0,4,6.98 ,6.96,6.76,7
1,6,4,85% - 95%,8,10,3,2,7,7.47 ,7.7,6.67,6.91
1,7,7,75% - 85%,6,8,1,1,5,7.37 ,8.1,8.3,8.4
0,7,5,85% - 95%,8,8,1,1,7,5.65 ,5.17,5.95,7.21
